time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/entropy_loss,train/approx_kl,train/clip_range,train/value_loss,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/loss,eval/mean_reward,eval/mean_ep_length
4,8192,1,2001,10.0,16.327001571655273,,,,,,,,,,,,
15,16384,2,1066,10.0,25.320999145507812,0.0003,-1.5965157236903906,0.01513617,0.2,261.28231515884397,0.26533203125,10,-0.03607584457131452,0.0005382299423217773,89.42623901367188,,
,20000,,,,,0.0003,-1.5536310773342847,0.018671133,0.2,202.86353412866592,0.31097412109375,20,-0.04235394688948872,0.1683894395828247,91.21646118164062,56.769999999999996,10.0
26,24576,3,923,10.0,32.06149673461914,,,,,,,,,,,,
37,32768,4,871,10.0,41.23500061035156,0.0003,-1.4768075605854392,0.022990381,0.2,152.33428113460542,0.3271728515625,30,-0.04340396278421395,0.1911485195159912,95.03572845458984,,
,40000,,,,,0.0003,-1.3816436737775804,0.024077427,0.2,112.56474006772041,0.3203369140625,40,-0.04161248780583264,0.30728447437286377,68.95886993408203,65.05,10.0
48,40960,5,837,10.0,46.679508209228516,,,,,,,,,,,,
60,49152,6,817,10.0,51.047000885009766,0.0003,-1.277406097948551,0.02248494,0.2,57.978194423019886,0.27110595703125,50,-0.0343652238829236,0.5073313415050507,21.103927612304688,,
70,57344,7,809,10.0,55.78849792480469,0.0003,-1.1611194661818445,0.01791969,0.2,48.79697298258543,0.2765869140625,60,-0.03332395675242879,0.6553620398044586,18.47960662841797,,
,60000,,,,,0.0003,-1.0386904160492123,0.018905044,0.2,31.64158621430397,0.2747802734375,70,-0.034196178337879246,0.7746895104646683,11.092828750610352,63.470000000000006,10.0
81,65536,8,801,10.0,56.857505798339844,,,,,,,,,,,,
93,73728,9,784,10.0,61.68949890136719,0.0003,-0.9000041457824409,0.021107309,0.2,24.042252330482007,0.247802734375,80,-0.031914647875964874,0.8418515175580978,11.601791381835938,,
